word,phonemes
0,"['C1-0', 'C1-1', 'C1-2']"
1,"['C1-0', 'C1-1', 'C1-3']"
2,"['C1-0', 'C1-1', 'V1-0']"
3,"['C1-0', 'C1-1', 'V1-1']"
4,"['C1-0', 'C1-1', 'V1-2']"
5,"['C1-0', 'C1-1', 'V1-3']"
6,"['C1-0', 'C1-1', 'C2-0']"
7,"['C1-0', 'C1-1', 'C2-1']"
8,"['C1-0', 'C1-1', 'C2-2']"
9,"['C1-0', 'C1-1', 'C2-3']"
10,"['C1-0', 'C1-2', 'C1-1']"
11,"['C1-0', 'C1-2', 'C1-3']"
12,"['C1-0', 'C1-2', 'V1-0']"
13,"['C1-0', 'C1-2', 'V1-1']"
14,"['C1-0', 'C1-2', 'V1-2']"
15,"['C1-0', 'C1-2', 'V1-3']"
16,"['C1-0', 'C1-2', 'C2-0']"
17,"['C1-0', 'C1-2', 'C2-1']"
18,"['C1-0', 'C1-2', 'C2-2']"
19,"['C1-0', 'C1-2', 'C2-3']"
20,"['C1-0', 'C1-3', 'C1-1']"
21,"['C1-0', 'C1-3', 'C1-2']"
22,"['C1-0', 'C1-3', 'V1-0']"
23,"['C1-0', 'C1-3', 'V1-1']"
24,"['C1-0', 'C1-3', 'V1-2']"
25,"['C1-0', 'C1-3', 'V1-3']"
26,"['C1-0', 'C1-3', 'C2-0']"
27,"['C1-0', 'C1-3', 'C2-1']"
28,"['C1-0', 'C1-3', 'C2-2']"
29,"['C1-0', 'C1-3', 'C2-3']"
30,"['C1-0', 'V1-0', 'C1-1']"
31,"['C1-0', 'V1-0', 'C1-2']"
32,"['C1-0', 'V1-0', 'C1-3']"
33,"['C1-0', 'V1-0', 'V1-1']"
34,"['C1-0', 'V1-0', 'V1-2']"
35,"['C1-0', 'V1-0', 'V1-3']"
36,"['C1-0', 'V1-0', 'C2-0']"
37,"['C1-0', 'V1-0', 'C2-2']"
38,"['C1-0', 'V1-0', 'C2-3']"
39,"['C1-0', 'V1-1', 'C1-1']"
40,"['C1-0', 'V1-1', 'C1-2']"
41,"['C1-0', 'V1-1', 'C1-3']"
42,"['C1-0', 'V1-1', 'V1-0']"
43,"['C1-0', 'V1-1', 'V1-2']"
44,"['C1-0', 'V1-1', 'V1-3']"
45,"['C1-0', 'V1-1', 'C2-0']"
46,"['C1-0', 'V1-1', 'C2-1']"
47,"['C1-0', 'V1-1', 'C2-2']"
48,"['C1-0', 'V1-1', 'C2-3']"
49,"['C1-0', 'V1-2', 'C1-1']"
50,"['C1-0', 'V1-2', 'C1-2']"
51,"['C1-0', 'V1-2', 'C1-3']"
52,"['C1-0', 'V1-2', 'V1-0']"
53,"['C1-0', 'V1-2', 'V1-1']"
54,"['C1-0', 'V1-2', 'V1-3']"
55,"['C1-0', 'V1-2', 'C2-0']"
56,"['C1-0', 'V1-2', 'C2-1']"
57,"['C1-0', 'V1-2', 'C2-2']"
58,"['C1-0', 'V1-2', 'C2-3']"
59,"['C1-0', 'V1-3', 'C1-1']"
60,"['C1-0', 'V1-3', 'C1-2']"
61,"['C1-0', 'V1-3', 'C1-3']"
62,"['C1-0', 'V1-3', 'V1-0']"
63,"['C1-0', 'V1-3', 'V1-1']"
64,"['C1-0', 'V1-3', 'V1-2']"
65,"['C1-0', 'V1-3', 'C2-3']"
66,"['C1-0', 'C2-0', 'C1-1']"
67,"['C1-0', 'C2-0', 'C1-2']"
68,"['C1-0', 'C2-0', 'C1-3']"
69,"['C1-0', 'C2-0', 'V1-0']"
70,"['C1-0', 'C2-0', 'V1-1']"
71,"['C1-0', 'C2-0', 'V1-2']"
72,"['C1-0', 'C2-0', 'V1-3']"
73,"['C1-0', 'C2-0', 'C2-1']"
74,"['C1-0', 'C2-0', 'C2-2']"
75,"['C1-0', 'C2-0', 'C2-3']"
76,"['C1-0', 'C2-1', 'C1-1']"
77,"['C1-0', 'C2-1', 'C1-2']"
78,"['C1-0', 'C2-1', 'C1-3']"
79,"['C1-0', 'C2-1', 'V1-0']"
80,"['C1-0', 'C2-1', 'V1-1']"
81,"['C1-0', 'C2-1', 'V1-2']"
82,"['C1-0', 'C2-1', 'V1-3']"
83,"['C1-0', 'C2-1', 'C2-0']"
84,"['C1-0', 'C2-1', 'C2-2']"
85,"['C1-0', 'C2-1', 'C2-3']"
86,"['C1-0', 'C2-2', 'C1-1']"
87,"['C1-0', 'C2-2', 'C1-2']"
88,"['C1-0', 'C2-2', 'C1-3']"
89,"['C1-0', 'C2-2', 'V1-0']"
