word,phonemes
0,"('C1-0', 'V1-0', 'C2-0')"
1,"('C1-0', 'V1-0', 'C2-2')"
2,"('C1-0', 'V1-0', 'C2-3')"
3,"('C1-0', 'V1-1', 'C2-0')"
4,"('C1-0', 'V1-1', 'C2-1')"
5,"('C1-0', 'V1-1', 'C2-2')"
6,"('C1-0', 'V1-1', 'C2-3')"
7,"('C1-0', 'V1-2', 'C2-0')"
8,"('C1-0', 'V1-2', 'C2-1')"
9,"('C1-0', 'V1-2', 'C2-2')"
10,"('C1-0', 'V1-2', 'C2-3')"
11,"('C1-0', 'V1-3', 'C2-3')"
12,"('C1-1', 'V1-0', 'C2-1')"
13,"('C1-1', 'V1-1', 'C2-1')"
14,"('C1-1', 'V1-1', 'C2-3')"
15,"('C1-1', 'V1-2', 'C2-0')"
16,"('C1-1', 'V1-2', 'C2-3')"
17,"('C1-1', 'V1-3', 'C2-0')"
18,"('C1-1', 'V1-3', 'C2-1')"
19,"('C1-1', 'V1-3', 'C2-3')"
20,"('C1-2', 'V1-0', 'C2-0')"
21,"('C1-2', 'V1-0', 'C2-3')"
22,"('C1-2', 'V1-1', 'C2-2')"
23,"('C1-2', 'V1-1', 'C2-3')"
24,"('C1-2', 'V1-2', 'C2-0')"
25,"('C1-2', 'V1-2', 'C2-3')"
26,"('C1-2', 'V1-3', 'C2-0')"
27,"('C1-2', 'V1-3', 'C2-2')"
28,"('C1-3', 'V1-0', 'C2-1')"
29,"('C1-3', 'V1-1', 'C2-0')"
30,"('C1-3', 'V1-1', 'C2-1')"
31,"('C1-3', 'V1-1', 'C2-2')"
32,"('C1-3', 'V1-1', 'C2-3')"
33,"('C1-3', 'V1-2', 'C2-0')"
34,"('C1-3', 'V1-2', 'C2-3')"
35,"('C1-3', 'V1-3', 'C2-2')"
36,"('C1-3', 'V1-3', 'C2-3')"
