sentence_id	structure	needed_roles	sentence_lst	sentence_str	role_to_filler	filler_to_role	probability	verb
ditransitive_mailed_68cb0d5d-f1b6-47da-9c0f-22a1888f5907	ditransitive	['subject', 'verb', 'indirect_object', 'direct_object']	['man', 'mailed', 'boy', 'letter']	man mailed boy letter	{'subject': 'man', 'verb': 'mailed', 'indirect_object': 'boy', 'direct_object': 'letter'}	{'man': 'subject', 'mailed': 'verb', 'boy': 'indirect_object', 'letter': 'direct_object'}	0.0062499999999999995	mailed
ditransitive_mailed_b314427d-5997-4909-b40e-3519fddd264a	ditransitive	['subject', 'verb', 'indirect_object', 'direct_object']	['man', 'mailed', 'boy', 'package']	man mailed boy package	{'subject': 'man', 'verb': 'mailed', 'indirect_object': 'boy', 'direct_object': 'package'}	{'man': 'subject', 'mailed': 'verb', 'boy': 'indirect_object', 'package': 'direct_object'}	0.0062499999999999995	mailed
ditransitive_mailed_59c760be-8a33-4fe8-bcc3-91227f382016	ditransitive	['subject', 'verb', 'indirect_object', 'direct_object']	['man', 'mailed', 'boy', 'gift']	man mailed boy gift	{'subject': 'man', 'verb': 'mailed', 'indirect_object': 'boy', 'direct_object': 'gift'}	{'man': 'subject', 'mailed': 'verb', 'boy': 'indirect_object', 'gift': 'direct_object'}	0.0062499999999999995	mailed
ditransitive_mailed_44eb6122-caf1-4ad6-9ede-275142260107	ditransitive	['subject', 'verb', 'indirect_object', 'direct_object']	['man', 'mailed', 'girl', 'letter']	man mailed girl letter	{'subject': 'man', 'verb': 'mailed', 'indirect_object': 'girl', 'direct_object': 'letter'}	{'man': 'subject', 'mailed': 'verb', 'girl': 'indirect_object', 'letter': 'direct_object'}	0.0062499999999999995	mailed
ditransitive_mailed_63b7fc09-faa6-4e9b-8d98-cfbcc9d161c2	ditransitive	['subject', 'verb', 'indirect_object', 'direct_object']	['man', 'mailed', 'girl', 'package']	man mailed girl package	{'subject': 'man', 'verb': 'mailed', 'indirect_object': 'girl', 'direct_object': 'package'}	{'man': 'subject', 'mailed': 'verb', 'girl': 'indirect_object', 'package': 'direct_object'}	0.0062499999999999995	mailed
ditransitive_mailed_b81c5100-d53b-4532-86d8-e4200be1b90d	ditransitive	['subject', 'verb', 'indirect_object', 'direct_object']	['man', 'mailed', 'girl', 'gift']	man mailed girl gift	{'subject': 'man', 'verb': 'mailed', 'indirect_object': 'girl', 'direct_object': 'gift'}	{'man': 'subject', 'mailed': 'verb', 'girl': 'indirect_object', 'gift': 'direct_object'}	0.0062499999999999995	mailed
ditransitive_mailed_7b43d6f8-e855-4464-b692-61b650155533	ditransitive	['subject', 'verb', 'indirect_object', 'direct_object']	['woman', 'mailed', 'boy', 'letter']	woman mailed boy letter	{'subject': 'woman', 'verb': 'mailed', 'indirect_object': 'boy', 'direct_object': 'letter'}	{'woman': 'subject', 'mailed': 'verb', 'boy': 'indirect_object', 'letter': 'direct_object'}	0.0062499999999999995	mailed
ditransitive_mailed_a262b1c3-9174-42ff-b21b-85284535a79c	ditransitive	['subject', 'verb', 'indirect_object', 'direct_object']	['woman', 'mailed', 'boy', 'package']	woman mailed boy package	{'subject': 'woman', 'verb': 'mailed', 'indirect_object': 'boy', 'direct_object': 'package'}	{'woman': 'subject', 'mailed': 'verb', 'boy': 'indirect_object', 'package': 'direct_object'}	0.0062499999999999995	mailed
ditransitive_mailed_29dda034-d3fc-4f25-bac7-513dc9a3589f	ditransitive	['subject', 'verb', 'indirect_object', 'direct_object']	['woman', 'mailed', 'boy', 'gift']	woman mailed boy gift	{'subject': 'woman', 'verb': 'mailed', 'indirect_object': 'boy', 'direct_object': 'gift'}	{'woman': 'subject', 'mailed': 'verb', 'boy': 'indirect_object', 'gift': 'direct_object'}	0.0062499999999999995	mailed
ditransitive_mailed_1697ac9d-1986-42e1-a53f-103fa423fdbc	ditransitive	['subject', 'verb', 'indirect_object', 'direct_object']	['woman', 'mailed', 'girl', 'letter']	woman mailed girl letter	{'subject': 'woman', 'verb': 'mailed', 'indirect_object': 'girl', 'direct_object': 'letter'}	{'woman': 'subject', 'mailed': 'verb', 'girl': 'indirect_object', 'letter': 'direct_object'}	0.0062499999999999995	mailed
