utterance_lst	utterance_str
[598, 482, 179, 1120]	598 482 179 1120
[8, 650, 1161, 104]	8 650 1161 104
[716, 797, 52, 490]	716 797 52 490
[909, 584, 937, 203]	909 584 937 203
[307, 143, 654, 1194]	307 143 654 1194
[763, 1001, 496, 964]	763 1001 496 964
[131, 376, 871, 938]	131 376 871 938
[545, 113, 344, 271]	545 113 344 271
[363, 1046, 257, 1146]	363 1046 257 1146
[1137, 70, 489, 635]	1137 70 489 635
[30, 549, 1171, 144]	30 549 1171 144
[771, 156, 748, 1157]	771 156 748 1157
[262, 10, 107, 697]	262 10 107 697
[22, 109, 642, 1190]	22 109 642 1190
[543, 514, 825, 120]	543 514 825 120
[749, 223, 787, 1239]	749 223 787 1239
[70, 717, 784, 193]	70 717 784 193
[346, 1286, 1290, 156]	346 1286 1290 156
[912, 1229, 306, 790]	912 1229 306 790
[55, 473, 871, 763]	55 473 871 763
[1001, 112, 448, 1117]	1001 112 448 1117
[755, 583, 520, 1274]	755 583 520 1274
[742, 23, 1033, 425]	742 23 1033 425
[560, 275, 574, 419]	560 275 574 419
[114, 813, 133, 1013]	114 813 133 1013
[32, 1009, 1044, 643]	32 1009 1044 643
[917, 321, 953, 549]	917 321 953 549
[298, 1246, 518, 482]	298 1246 518 482
[1111, 477, 863, 221]	1111 477 863 221
[1090, 334, 65, 1261]	1090 334 65 1261
[223, 1223, 1275, 784]	223 1223 1275 784
[15, 78, 269, 502]	15 78 269 502
[790, 1249, 458, 181]	790 1249 458 181
[726, 177, 111, 718]	726 177 111 718
[899, 84, 583, 910]	899 84 583 910
[988, 495, 1147, 218]	988 495 1147 218
[925, 997, 1138, 639]	925 997 1138 639
[128, 62, 683, 224]	128 62 683 224
[814, 108, 1008, 287]	814 108 1008 287
[16, 227, 590, 723]	16 227 590 723
[502, 223, 623, 1223]	502 223 623 1223
[692, 1217, 37, 1284]	692 1217 37 1284
[1149, 703, 676, 694]	1149 703 676 694
[1176, 84, 831, 701]	1176 84 831 701
[388, 937, 931, 133]	388 937 931 133
[904, 586, 633, 823]	904 586 633 823
[68, 779, 482, 1136]	68 779 482 1136
[298, 1064, 943, 808]	298 1064 943 808
[1132, 46, 771, 792]	1132 46 771 792
[876, 525, 89, 244]	876 525 89 244
[786, 234, 83, 458]	786 234 83 458
[608, 692, 33, 1002]	608 692 33 1002
[431, 1012, 11, 1233]	431 1012 11 1233
[763, 1262, 1275, 1076]	763 1262 1275 1076
[137, 450, 299, 1008]	137 450 299 1008
[248, 285, 143, 155]	248 285 143 155
[1213, 1262, 481, 958]	1213 1262 481 958
[604, 674, 477, 820]	604 674 477 820
[305, 331, 669, 255]	305 331 669 255
[567, 1220, 28, 133]	567 1220 28 133
[1034, 74, 324, 1101]	1034 74 324 1101
[782, 285, 75, 355]	782 285 75 355
[388, 1034, 1261, 1016]	388 1034 1261 1016
[1165, 1203, 1133, 1189]	1165 1203 1133 1189
[1251, 122, 410, 319]	1251 122 410 319
[781, 635, 448, 1082]	781 635 448 1082
[516, 270, 357, 597]	516 270 357 597
[789, 734, 568, 240]	789 734 568 240
[520, 420, 220, 703]	520 420 220 703
[243, 920, 851, 178]	243 920 851 178
[808, 436, 578, 784]	808 436 578 784
[984, 1142, 948, 273]	984 1142 948 273
[700, 433, 24, 714]	700 433 24 714
[608, 1120, 418, 1077]	608 1120 418 1077
[664, 128, 926, 368]	664 128 926 368
[689, 92, 13, 1190]	689 92 13 1190
[54, 192, 211, 124]	54 192 211 124
[1065, 1286, 839, 511]	1065 1286 839 511
[1148, 654, 174, 892]	1148 654 174 892
[464, 349, 414, 497]	464 349 414 497
[235, 791, 1122, 738]	235 791 1122 738
[12, 884, 26, 619]	12 884 26 619
[1119, 875, 1174, 975]	1119 875 1174 975
[352, 185, 583, 878]	352 185 583 878
[300, 428, 967, 449]	300 428 967 449
[776, 705, 1201, 33]	776 705 1201 33
[241, 1006, 865, 124]	241 1006 865 124
[173, 272, 702, 1166]	173 272 702 1166
[280, 262, 886, 547]	280 262 886 547
[1094, 1291, 1210, 925]	1094 1291 1210 925
[641, 78, 1044, 515]	641 78 1044 515
[599, 817, 1246, 718]	599 817 1246 718
[1186, 1246, 109, 458]	1186 1246 109 458
[1148, 992, 1253, 240]	1148 992 1253 240
[686, 1206, 697, 866]	686 1206 697 866
[1260, 224, 73, 1104]	1260 224 73 1104
[751, 259, 1076, 366]	751 259 1076 366
[167, 384, 46, 524]	167 384 46 524
[1007, 587, 1247, 54]	1007 587 1247 54
[223, 185, 742, 258]	223 185 742 258
[862, 676, 751, 1092]	862 676 751 1092
[1021, 1192, 196, 490]	1021 1192 196 490
